,t2_vert_drop,t2_vert_drop_all,t2_max_lift,t2_max_lift_len,t2_max_lift_angle,t2_difficulty,t2_harmony,t2_lift_perc,t2_a_perc,t2_b_perc,t2_c_perc,t1_vert_drop,t1_vert_drop_all,t1_max_lift,t1_max_lift_len,t1_max_lift_angle,t1_difficulty,t1_harmony,t1_lift_perc,t1_a_perc,t1_b_perc,t1_c_perc,track1,track2,dtw_dist,period,braycurtis
0,101.0,260.12633720136245,45.0,1335.737188960422,3.3664059301736358,9.131855316239989,0.9261990307845509,0.3165187825617665,0.11371230336478282,0.17936064345166763,0.023445835745316047,61.00000000000001,502.6899809209617,49.536688885913115,1335.737188960421,3.7057911828156547,17.647164159083925,1.0094227625660883,0.4067852501812334,0.16529314200447823,0.13950272268463035,0.10198938549212481,Lahti_30_F_Mst_L,Bolg_AZ_roller,4.748212197556385,0-28485.0,0.07947791428611801
1,1420.0,1687.0000000000002,325.00000000000045,4608.293301913451,7.050972431393844,59.222914850685,1.1429539295392954,0.9296273873017812,0.8803911322366175,0.049236255065163714,0.0,61.00000000000001,502.6899809209617,49.536688885913115,1335.737188960421,3.7057911828156547,17.647164159083925,1.0094227625660883,0.4067852501812334,0.16529314200447823,0.13950272268463035,0.10198938549212481,Lahti_30_F_Mst_L,Bolg_AZ_roller_climb,259.3700620241986,0-28485.0,0.6088068974479313
2,118.0,759.2426488016607,55.00000000000001,267.14743779208425,20.51110406009019,26.653564161819375,0.9946811539085189,0.4020960830321701,0.04103021255430304,0.2649379439220712,0.09612792655579581,61.00000000000001,502.6899809209617,49.536688885913115,1335.737188960421,3.7057911828156547,17.647164159083925,1.0094227625660883,0.4067852501812334,0.16529314200447823,0.13950272268463035,0.10198938549212481,Lahti_30_F_Mst_L,Bolg_AZ_run,7.6127109791187575,0-28485.0,0.43896764944210376
3,711.0,1694.525231146555,478.0,2036.9992131646422,23.454376081811773,59.48709156877874,1.6894693856277208,0.3892008733722464,0.3083127400509061,0.07619896617227703,0.004689167149063302,61.00000000000001,502.6899809209617,49.536688885913115,1335.737188960421,3.7057911828156547,17.647164159083925,1.0094227625660883,0.4067852501812334,0.16529314200447823,0.13950272268463035,0.10198938549212481,Lahti_30_F_Mst_L,Bolg_AZ_run_walk_long,171.32355893028372,0-28485.0,0.43481203129911666
4,467.0,963.9891413558751,334.0,3339.342972401053,9.998973241957827,33.84128443124121,1.8016088830443737,0.4314033777138154,0.37513337192505675,0.009378334298126413,0.04689167149063216,61.00000000000001,502.6899809209617,49.536688885913115,1335.737188960421,3.7057911828156547,17.647164159083925,1.0094227625660883,0.4067852501812334,0.16529314200447823,0.13950272268463035,0.10198938549212481,Lahti_30_F_Mst_L,Bolg_AZ__nordwalk,88.76664628723204,0-28485.0,0.4463116481924735
5,21.188635399711213,418.0371745534408,21.173949155316517,434.11458641213676,4.866292654059806,14.67538825903934,0.9971646893595506,0.41850816805389157,0.0,0.29893440575277963,0.11957376230111197,61.00000000000001,502.6899809209617,49.536688885913115,1335.737188960421,3.7057911828156547,17.647164159083925,1.0094227625660883,0.4067852501812334,0.16529314200447823,0.13950272268463035,0.10198938549212481,Lahti_30_F_Mst_L,"Drammen_1,2_C_Sp_L",11.353366344004614,0-28485.0,0.36666796237323673
6,108.0,597.7311007542471,48.20581779995701,834.8357431002623,5.76737932038574,20.9836266055572,1.0280234573765061,0.417335876266626,0.18287751881346512,0.13364126374830168,0.10081709370485914,61.00000000000001,502.6899809209617,49.536688885913115,1335.737188960421,3.7057911828156547,17.647164159083925,1.0094227625660883,0.4067852501812334,0.16529314200447823,0.13950272268463035,0.10198938549212481,Lahti_30_F_Mst_L,Holmenkollen_30_C_Mst_L2017-03-12.gpx,5.10572525021029,0-28485.0,0.18100585592957766
7,635.0,621.0259076269238,219.0,3973.8181371572523,5.509686039538566,21.801401569329382,4.058305663776757,0.7268209081047974,0.6588279844433809,0.05978688115055586,0.00820604251086062,61.00000000000001,502.6899809209617,49.536688885913115,1335.737188960421,3.7057911828156547,17.647164159083925,1.0094227625660883,0.4067852501812334,0.16529314200447823,0.13950272268463035,0.10198938549212481,Lahti_30_F_Mst_L,Nor_LiHam_AZ_roller_climb,189.3020080574643,0.0-28485.0,0.4708834457297227
8,635.3146489707585,498.80095951613237,156.00000000000003,2270.7532212327133,6.866943052703159,17.510638264886712,0.5068309162248571,0.3387923265198167,0.1312966801737697,0.09261105119399834,0.11488459515204867,61.00000000000001,502.6899809209617,49.536688885913115,1335.737188960421,3.7057911828156547,17.647164159083925,1.0094227625660883,0.4067852501812334,0.16529314200447823,0.13950272268463035,0.10198938549212481,Lahti_30_F_Mst_L,Nor_LiHam_AZ_roller_climb,202.4536589520192,14242.0-42727.0,0.2920975852522182
9,635.2957043899731,894.8872059694529,377.57479682929363,6077.604209769917,6.2115377774133,31.415429045700243,1.1739113718204193,0.5802844346965722,0.41850816805389146,0.06564834008688496,0.09612792655579581,61.00000000000001,502.6899809209617,49.536688885913115,1335.737188960421,3.7057911828156547,17.647164159083925,1.0094227625660883,0.4067852501812334,0.16529314200447823,0.13950272268463035,0.10198938549212481,Lahti_30_F_Mst_L,Nor_LiHam_AZ_roller_climb,187.6035825361713,28485.0-56969.0,0.6054879007360423
